Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency
2025-10-14T21:45:00.000,2025-10-14T22:45:00.000,LONG,역추세,3933.20,3961.37,0.8263,21.48,0.72,1,60,BB Middle 도달 (평균회귀 완료),NO
2025-10-14T23:10:00.000,2025-10-15T00:10:00.000,SHORT,역추세,3999.62,3962.16,0.1895,6.69,0.94,1,60,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T00:40:00.000,2025-10-15T00:50:00.000,SHORT,역추세,4030.33,4069.49,2.5051,-103.70,-0.97,2,10,긴급 손절 -0.8%,YES
2025-10-15T00:50:00.000,2025-10-15T01:10:00.000,SHORT,역추세,4076.74,4089.60,2.4511,-37.03,-0.32,2,20,시장 조건 전환 (강세),YES
