Timestamp,Price,RSI,MACD_Hist,Volume_Ratio,BB_Lower,BB_Middle,BB_Upper,Confidence,Market_Condition,BandWalking_Risk,BandWalking_Score,BandWalking_Dir,Breakout_Type,Stage1_Pass,Stage2_Pass,Stage3_TrendFollow,Stage3_CounterTrend,Stage4_Result,Block_Reason
2025-10-19T04:10:00.000Z,3893.33,57.7,1.16,1.8,3856.52,3883.43,3910.33,0.65,ranging,LOW,35,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3893_BBL3862_BBU3905
2025-10-19T04:15:00.000Z,3893.76,58.2,0.56,0.7,3858.47,3884.73,3910.99,0.65,ranging,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3894_BBL3864_BBU3906
2025-10-19T04:20:00.000Z,3898.57,61.8,0.40,0.6,3860.72,3886.31,3911.90,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3899_BBL3866_BBU3907
2025-10-19T04:25:00.000Z,3898.70,61.6,0.21,0.7,3862.97,3887.79,3912.62,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3899_BBL3868_BBU3908
2025-10-19T04:30:00.000Z,3899.71,62.7,0.07,0.4,3865.03,3889.20,3913.37,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3900_BBL3870_BBU3909
2025-10-19T04:35:00.000Z,3899.19,62.5,-0.13,0.2,3867.46,3890.58,3913.70,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3899_BBL3872_BBU3909
2025-10-19T04:40:00.000Z,3897.35,60.2,-0.42,0.5,3870.71,3891.95,3913.19,0.85,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T04:45:00.000Z,3899.37,62.4,-0.52,0.8,3875.19,3893.53,3911.86,0.65,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T04:50:00.000Z,3898.80,61.8,-0.66,0.3,3881.36,3895.12,3908.88,0.85,strongBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T04:55:00.000Z,3901.53,64.0,-0.59,0.4,3884.00,3896.19,3908.38,0.65,strongBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T05:00:00.000Z,3901.64,64.1,-0.57,0.9,3886.92,3897.21,3907.49,0.65,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T05:05:00.000Z,3902.34,65.5,-0.54,0.3,3889.47,3898.11,3906.75,0.65,strongBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,MARKET_NG,NO_ENTRY,Market_strongBearish
2025-10-19T05:10:00.000Z,3900.40,62.6,-0.67,0.3,3892.16,3898.83,3905.49,0.65,strongBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,MARKET_NG,NO_ENTRY,Market_strongBearish
2025-10-19T05:15:00.000Z,3910.85,71.6,-0.12,4.1,3891.49,3899.65,3907.81,0.65,ranging,HIGH,80,DOWN,BREAKOUT_REVERSAL,true,true,SHORT_FAIL[RSI:false,MACD:true,Vol:true],-,NO_ENTRY,TrendFollow_DOWN_RSI72_MACD-0.1_Vol4.1
2025-10-19T05:20:00.000Z,3906.58,64.3,-0.10,2.0,3891.45,3900.09,3908.74,0.65,ranging,HIGH,70,DOWN,BREAKOUT_REVERSAL,true,true,SHORT_FAIL[RSI:false,MACD:true,Vol:true],-,NO_ENTRY,TrendFollow_DOWN_RSI64_MACD-0.1_Vol2.0
2025-10-19T05:25:00.000Z,3904.68,61.1,-0.29,1.2,3891.45,3900.09,3908.73,0.65,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T05:30:00.000Z,3908.40,64.3,-0.24,0.5,3891.58,3900.72,3909.85,0.65,strongBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T05:35:00.000Z,3905.10,59.9,-0.50,0.9,3891.57,3900.73,3909.90,0.85,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T05:40:00.000Z,3900.81,54.0,-0.98,0.9,3891.56,3900.73,3909.89,0.85,ranging,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T05:45:00.000Z,3893.71,45.9,-1.77,1.3,3891.62,3900.74,3909.86,0.65,ranging,LOW,45,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3894_BBL3893_BBU3908
2025-10-19T05:50:00.000Z,3895.52,48.1,-2.11,0.6,3892.04,3900.85,3909.66,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3896_BBL3894_BBU3908
2025-10-19T05:55:00.000Z,3894.93,46.9,-2.32,1.9,3892.27,3900.91,3909.55,0.65,weakBullish,LOW,40,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3895_BBL3894_BBU3908
2025-10-19T06:00:00.000Z,3896.35,48.8,-2.31,0.6,3891.99,3900.80,3909.61,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3896_BBL3894_BBU3908
2025-10-19T06:05:00.000Z,3891.73,43.7,-2.51,0.7,3890.82,3900.45,3910.08,0.45,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_FAIL[RSI:false,Vol:true],NO_ENTRY,Counter_LONG_RSI44_Vol0.7
2025-10-19T06:10:00.000Z,3887.82,39.8,-2.79,1.2,3888.76,3899.86,3910.95,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_FAIL[RSI:false,Vol:true],NO_ENTRY,Counter_LONG_RSI40_Vol1.2
2025-10-19T06:15:00.000Z,3885.75,38.5,-2.99,0.8,3886.50,3899.18,3911.87,0.45,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_FAIL[RSI:false,Vol:true],NO_ENTRY,Counter_LONG_RSI38_Vol0.8
2025-10-19T06:20:00.000Z,3884.77,37.6,-3.05,1.0,3884.40,3898.55,3912.71,0.45,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_FAIL[RSI:false,Vol:true],NO_ENTRY,Counter_LONG_RSI38_Vol1.0
2025-10-19T06:25:00.000Z,3886.55,40.3,-2.83,0.5,3882.84,3897.91,3912.99,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3887_BBL3886_BBU3910
2025-10-19T06:30:00.000Z,3881.85,36.1,-2.85,0.8,3880.46,3897.07,3913.67,0.45,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_FAIL[RSI:false,Vol:true],NO_ENTRY,Counter_LONG_RSI36_Vol0.8
2025-10-19T06:35:00.000Z,3877.24,32.6,-3.01,3.2,3877.29,3895.85,3914.41,0.65,weakBullish,LOW,45,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_OK,ENTRY_LONG_COUNTER,
2025-10-19T06:40:00.000Z,3878.41,34.5,-2.86,2.2,3874.86,3894.69,3914.52,0.65,weakBullish,LOW,45,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_OK,ENTRY_LONG_COUNTER,
2025-10-19T06:45:00.000Z,3876.02,32.9,-2.75,0.6,3872.29,3893.37,3914.45,0.45,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,LONG_OK,ENTRY_LONG_COUNTER,
2025-10-19T06:50:00.000Z,3875.26,32.3,-2.56,2.0,3869.89,3892.12,3914.34,0.65,weakBullish,NONE,10,DOWN,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3875_BBL3874_BBU3910
2025-10-19T06:55:00.000Z,3879.20,38.9,-2.03,1.5,3869.39,3890.53,3911.68,0.65,weakBullish,NONE,0,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3879_BBL3874_BBU3907
2025-10-19T07:00:00.000Z,3882.25,43.7,-1.37,0.6,3869.24,3889.32,3909.40,0.65,ranging,NONE,0,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3882_BBL3873_BBU3905
2025-10-19T07:05:00.000Z,3885.92,49.0,-0.61,0.8,3869.54,3888.38,3907.22,0.65,ranging,NONE,0,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3886_BBL3873_BBU3903
2025-10-19T07:10:00.000Z,3885.01,48.2,-0.10,0.6,3870.73,3887.21,3903.69,0.65,weakBearish,NONE,20,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3885_BBL3874_BBU3900
2025-10-19T07:15:00.000Z,3887.79,52.1,0.42,0.7,3872.04,3886.34,3900.65,0.65,ranging,NONE,15,DOWN,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3888_BBL3875_BBU3898
2025-10-19T07:20:00.000Z,3885.04,47.4,0.62,0.5,3872.88,3885.56,3898.23,0.45,ranging,NONE,15,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3885_BBL3875_BBU3896
2025-10-19T07:25:00.000Z,3882.01,43.9,0.54,1.5,3872.79,3884.97,3897.15,0.65,weakBullish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3882_BBL3875_BBU3895
2025-10-19T07:30:00.000Z,3888.78,52.4,0.93,1.0,3873.29,3884.63,3895.98,0.65,ranging,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3889_BBL3876_BBU3894
2025-10-19T07:35:00.000Z,3883.31,46.2,0.82,1.0,3873.74,3884.05,3894.37,0.65,ranging,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3883_BBL3876_BBU3892
2025-10-19T07:40:00.000Z,3879.61,41.9,0.52,0.8,3874.42,3883.22,3892.01,0.65,ranging,MEDIUM,55,UP,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T07:45:00.000Z,3882.00,44.7,0.50,1.1,3874.84,3882.73,3890.62,0.65,ranging,LOW,30,UP,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3882_BBL3876_BBU3889
2025-10-19T07:50:00.000Z,3882.65,44.9,0.53,1.1,3874.94,3882.47,3890.00,0.65,ranging,LOW,30,UP,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3883_BBL3876_BBU3888
2025-10-19T07:55:00.000Z,3886.37,50.3,0.77,0.2,3874.91,3882.50,3890.09,0.65,weakBearish,LOW,30,UP,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3886_BBL3876_BBU3889
2025-10-19T08:00:00.000Z,3890.88,54.7,1.22,2.5,3874.43,3882.81,3891.19,0.65,ranging,LOW,45,UP,BREAKOUT_REVERSAL,true,true,-,SHORT_FAIL[RSI:false,Vol:true],NO_ENTRY,Counter_SHORT_RSI55_Vol2.5
2025-10-19T08:05:00.000Z,3891.36,55.6,1.49,0.4,3874.00,3883.05,3892.10,0.65,weakBearish,LOW,30,UP,BREAKOUT_REVERSAL,true,true,-,SHORT_FAIL[RSI:false,Vol:true],NO_ENTRY,Counter_SHORT_RSI56_Vol0.4
2025-10-19T08:10:00.000Z,3886.11,49.5,1.29,1.2,3874.14,3883.26,3892.39,0.85,ranging,LOW,30,UP,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3886_BBL3876_BBU3891
2025-10-19T08:15:00.000Z,3928.33,75.4,3.85,10.0,3864.46,3885.82,3907.17,0.65,ranging,HIGH,70,NONE,HEADFAKE,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
