Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency
2025-10-17T19:40:00.000,2025-10-17T19:25:00.000,LONG,역추세,104360.00,103953.60,0.0479,-22.21,-0.39,1,-15,시장 조건 전환 (약세),YES
2025-10-17T15:25:00.000,2025-10-17T11:35:00.000,LONG,추세추종,107755.60,108597.50,0.0000,0.00,0.78,1,-230,추세 반전 감지,YES
2025-10-17T11:25:00.000,2025-10-17T10:55:00.000,LONG,역추세,108379.70,108782.20,0.0462,15.82,0.37,1,-30,BB Middle 도달 (평균회귀 완료),NO
2025-10-17T09:00:00.000,2025-10-17T08:20:00.000,LONG,역추세,108013.50,108354.70,0.0464,13.07,0.32,1,-40,BB Middle 도달 (평균회귀 완료),NO
2025-10-17T00:30:00.000,2025-10-17T00:10:00.000,SHORT,역추세,110063.50,110527.60,0.0456,-23.93,-0.42,1,-20,시장 조건 전환 (강세),YES
2025-10-16T18:35:00.000,2025-10-16T16:50:00.000,LONG,역추세,109723.10,110675.10,0.0000,0.01,0.87,1,-105,BB Middle 도달 (평균회귀 완료),NO
2025-10-16T15:55:00.000,2025-10-16T15:20:00.000,SHORT,역추세,111623.70,111026.00,0.0450,24.17,0.54,1,-35,BB Middle 도달 (평균회귀 완료),NO
2025-10-16T10:20:00.000,2025-10-16T09:45:00.000,LONG,역추세,110707.20,110403.10,0.0455,-16.61,-0.27,1,-35,시장 조건 전환 (약세),YES
2025-10-15T23:25:00.000,2025-10-15T22:55:00.000,SHORT,역추세,111872.00,111330.10,0.0450,21.62,0.48,1,-30,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T18:05:00.000,2025-10-15T17:35:00.000,SHORT,역추세,113004.20,113228.90,0.0446,-12.80,-0.20,1,-30,시장 조건 전환 (강세),YES
2025-10-15T15:30:00.000,2025-10-15T15:00:00.000,LONG,역추세,111964.00,112336.80,0.0450,13.99,0.33,1,-30,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T13:00:00.000,2025-10-15T12:30:00.000,LONG,역추세,111792.00,112138.90,0.0451,12.87,0.31,1,-30,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T11:55:00.000,2025-10-15T11:40:00.000,SHORT,역추세,112767.80,112975.00,0.0448,-12.06,-0.18,1,-15,시장 조건 전환 (강세),YES
2025-10-15T11:25:00.000,2025-10-15T11:15:00.000,LONG,추세추종,113516.90,112997.20,0.0444,-25.85,-0.46,1,-10,손절 -0.46%,NO
2025-10-15T04:40:00.000,2025-10-15T04:35:00.000,LONG,역추세,112067.40,112666.80,0.0449,24.12,0.53,1,-5,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T00:15:00.000,2025-10-14T23:25:00.000,LONG,역추세,111189.90,111758.20,0.0192,9.71,0.51,1,-50,BB Middle 도달 (평균회귀 완료),NO
2025-10-14T22:35:00.000,2025-10-14T21:50:00.000,LONG,역추세,110261.90,110942.90,0.0126,7.80,0.62,1,-45,BB Middle 도달 (평균회귀 완료),NO
2025-10-14T19:45:00.000,2025-10-14T19:10:00.000,LONG,역추세,110249.90,110883.50,0.0459,26.31,0.57,1,-35,BB Middle 도달 (평균회귀 완료),NO
2025-10-21T15:35:00.000,2025-10-21T15:05:00.000,LONG,역추세,107891.70,107583.70,0.0471,-17.28,-0.29,1,-30,시장 조건 전환 (극약세),YES
2025-10-21T12:45:00.000,2025-10-21T10:00:00.000,SHORT,역추세,109365.20,110289.60,0.0464,-45.66,-0.85,1,-165,긴급 손절 -0.8%,YES
2025-10-21T08:25:00.000,2025-10-21T07:25:00.000,SHORT,역추세,110716.70,110623.10,0.0456,1.49,0.08,1,-60,BB Middle 도달 (평균회귀 완료),NO
2025-10-21T06:05:00.000,2025-10-21T05:00:00.000,SHORT,역추세,111213.70,110801.50,0.0454,15.94,0.37,1,-65,BB Middle 도달 (평균회귀 완료),NO
2025-10-21T03:15:00.000,2025-10-21T02:15:00.000,LONG,역추세,110207.90,110552.10,0.0459,13.00,0.31,1,-60,BB Middle 도달 (평균회귀 완료),NO
2025-10-20T17:30:00.000,2025-10-20T16:50:00.000,SHORT,역추세,111455.10,111068.30,0.0295,9.62,0.35,1,-40,BB Middle 도달 (평균회귀 완료),NO
2025-10-20T12:45:00.000,2025-10-20T08:55:00.000,SHORT,추세추종,109269.90,108597.30,0.0000,0.00,0.62,1,-230,추세 반전 감지,YES
2025-10-20T03:55:00.000,2025-10-20T03:15:00.000,SHORT,역추세,109330.10,109082.80,0.0465,8.71,0.23,1,-40,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T22:35:00.000,2025-10-19T22:25:00.000,LONG,역추세,107665.90,107461.60,0.0473,-12.45,-0.19,1,-10,시장 조건 전환 (약세),YES
2025-10-19T18:35:00.000,2025-10-19T17:25:00.000,LONG,역추세,106358.80,106650.30,0.0478,11.13,0.27,1,-70,BB Middle 도달 (평균회귀 완료),NO
2025-10-18T09:10:00.000,2025-10-18T08:35:00.000,LONG,역추세,106305.30,106598.90,0.0479,11.25,0.28,1,-35,BB Middle 도달 (평균회귀 완료),NO
2025-10-18T07:00:00.000,2025-10-18T06:00:00.000,SHORT,역추세,107353.70,107059.30,0.0474,11.17,0.27,1,-60,BB Middle 도달 (평균회귀 완료),NO
2025-10-18T05:05:00.000,2025-10-18T04:20:00.000,LONG,역추세,106349.50,106614.00,0.0479,9.87,0.25,1,-45,백테스트 종료,NO
