Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency,Entry RSI,BB Upper,BB Middle,BB Lower
2025-10-14T21:30:00.000,2025-10-14T22:45:00.000,LONG,역추세,3937.15,3961.37,1.2700,27.99,0.62,1,75,BB Middle 도달 (평균회귀 완료),NO,40.60,3985.68,3962.04,3938.40
2025-10-14T22:45:00.000,2025-10-15T00:10:00.000,SHORT,역추세,3971.76,3962.16,2.5248,18.73,0.24,2,85,BB Middle 도달 (평균회귀 완료),NO,56.80,3961.92,3942.23,3922.54
2025-10-15T00:10:00.000,2025-10-15T00:20:00.000,LONG,역추세,3962.16,3983.46,1.2678,24.23,0.54,1,10,BB Middle 도달 (평균회귀 완료),NO,49.04,4001.18,3967.00,3932.82
2025-10-15T00:20:00.000,2025-10-15T00:40:00.000,SHORT,역추세,3983.46,4020.98,1.2641,-50.22,-0.94,1,20,긴급 손절 -0.8%,YES,56.08,3998.23,3970.88,3943.53
2025-10-15T00:40:00.000,2025-10-15T00:50:00.000,SHORT,역추세,4030.33,4069.49,2.4863,-102.92,-0.97,2,10,긴급 손절 -0.8%,YES,66.13,4009.47,3978.41,3947.34
