Timestamp,Price,RSI,MACD_Hist,Volume_Ratio,BB_Lower,BB_Middle,BB_Upper,Confidence,Market_Condition,BandWalking_Risk,BandWalking_Score,BandWalking_Dir,Breakout_Type,Stage1_Pass,Stage2_Pass,Stage3_TrendFollow,Stage3_CounterTrend,Stage4_Result,Block_Reason
2025-10-19T11:35:00.000Z,3927.37,55.7,-1.39,0.5,3903.24,3926.44,3949.64,0.85,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3927_BBL3908_BBU3945
2025-10-19T11:40:00.000Z,3921.64,52.0,-2.39,0.5,3906.24,3927.30,3948.36,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3922_BBL3910_BBU3944
2025-10-19T11:45:00.000Z,3920.41,51.3,-3.17,1.3,3908.30,3927.88,3947.46,0.65,ranging,MEDIUM,50,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T11:50:00.000Z,3917.96,49.5,-3.77,0.5,3910.44,3928.38,3946.32,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3918_BBL3914_BBU3943
2025-10-19T11:55:00.000Z,3922.66,52.5,-3.77,1.7,3911.95,3928.83,3945.70,0.65,ranging,LOW,40,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3923_BBL3915_BBU3942
2025-10-19T12:00:00.000Z,3924.40,53.3,-3.58,0.9,3911.81,3928.75,3945.69,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3924_BBL3915_BBU3942
2025-10-19T12:05:00.000Z,3921.29,50.6,-3.60,1.0,3911.04,3928.17,3945.30,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3921_BBL3914_BBU3942
2025-10-19T12:10:00.000Z,3916.39,47.0,-3.87,0.5,3910.02,3927.81,3945.60,0.65,ranging,NONE,20,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3916_BBL3914_BBU3942
2025-10-19T12:15:00.000Z,3918.81,49.0,-3.81,0.5,3909.32,3927.51,3945.69,0.65,ranging,NONE,0,DOWN,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3919_BBL3913_BBU3942
2025-10-19T12:20:00.000Z,3915.08,43.7,-3.93,1.0,3908.22,3927.11,3946.00,0.65,weakBullish,NONE,0,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3915_BBL3912_BBU3942
2025-10-19T12:25:00.000Z,3912.79,44.4,-4.17,0.5,3907.31,3926.84,3946.38,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3913_BBL3911_BBU3942
2025-10-19T12:30:00.000Z,3911.57,43.8,-4.18,1.2,3905.87,3926.37,3946.88,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3912_BBL3910_BBU3943
2025-10-19T12:35:00.000Z,3918.16,50.5,-3.62,0.7,3905.05,3925.81,3946.57,0.85,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3918_BBL3909_BBU3942
2025-10-19T12:40:00.000Z,3914.05,47.3,-3.38,0.9,3904.41,3924.43,3944.46,0.45,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3914_BBL3908_BBU3940
2025-10-19T12:45:00.000Z,3918.17,51.3,-2.82,0.4,3905.24,3923.10,3940.96,0.65,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3918_BBL3909_BBU3937
2025-10-19T12:50:00.000Z,3920.08,53.2,-2.24,0.3,3907.05,3921.86,3936.66,0.65,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3920_BBL3910_BBU3934
2025-10-19T12:55:00.000Z,3921.93,54.5,-1.68,0.3,3909.04,3920.89,3932.75,0.65,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3922_BBL3911_BBU3930
2025-10-19T13:00:00.000Z,3924.54,57.2,-1.15,0.6,3909.96,3920.44,3930.92,0.65,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3925_BBL3912_BBU3929
2025-10-19T13:05:00.000Z,3915.38,49.2,-1.37,0.6,3909.86,3919.75,3929.64,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3915_BBL3912_BBU3928
2025-10-19T13:10:00.000Z,3916.02,49.8,-1.39,0.5,3910.78,3918.93,3927.09,0.65,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3916_BBL3912_BBU3925
2025-10-19T13:15:00.000Z,3915.32,49.2,-1.38,0.2,3911.03,3918.33,3925.64,0.65,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3915_BBL3912_BBU3924
2025-10-19T13:20:00.000Z,3919.52,53.3,-1.01,0.3,3911.06,3918.23,3925.40,0.85,weakBearish,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3920_BBL3912_BBU3924
2025-10-19T13:25:00.000Z,3924.19,58.0,-0.40,1.1,3910.84,3918.42,3925.99,0.65,ranging,LOW,30,DOWN,BREAKOUT_REVERSAL,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3924_BBL3912_BBU3924
2025-10-19T13:30:00.000Z,3935.26,65.8,0.74,2.6,3908.74,3919.28,3929.82,0.65,ranging,LOW,45,DOWN,BREAKOUT_REVERSAL,true,true,-,SHORT_OK,ENTRY_SHORT_COUNTER,
2025-10-19T13:35:00.000Z,3942.08,69.2,1.92,1.6,3905.79,3920.25,3934.71,0.45,ranging,LOW,40,DOWN,BREAKOUT_REVERSAL,true,true,-,SHORT_OK,ENTRY_SHORT_COUNTER,
2025-10-19T13:40:00.000Z,3944.63,70.3,2.76,1.6,3903.36,3921.26,3939.16,0.45,ranging,LOW,40,DOWN,BREAKOUT_REVERSAL,true,true,-,SHORT_OK,ENTRY_SHORT_COUNTER,
2025-10-19T13:45:00.000Z,3952.17,72.8,3.66,2.1,3900.40,3922.81,3945.21,0.45,ranging,LOW,45,DOWN,HEADFAKE,true,true,-,SHORT_OK,ENTRY_SHORT_COUNTER,
2025-10-19T13:50:00.000Z,3963.47,76.3,4.72,4.2,3896.84,3925.16,3953.48,0.65,ranging,HIGH,70,NONE,HEADFAKE,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T13:55:00.000Z,3970.87,79.1,5.55,3.6,3893.34,3927.76,3962.19,0.65,ranging,HIGH,70,NONE,HEADFAKE,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T14:00:00.000Z,3959.37,67.8,5.02,1.4,3893.47,3929.98,3966.49,0.45,ranging,NONE,25,NONE,HEADFAKE,true,true,-,SHORT_OK,ENTRY_SHORT_COUNTER,
2025-10-19T14:05:00.000Z,3963.17,69.8,4.65,1.1,3894.17,3932.50,3970.82,0.45,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,SHORT_OK,ENTRY_SHORT_COUNTER,
2025-10-19T14:10:00.000Z,3966.57,71.1,4.39,1.1,3895.46,3935.25,3975.04,0.45,weakBearish,LOW,35,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3967_BBL3903_BBU3967
2025-10-19T14:15:00.000Z,3991.88,78.8,5.56,1.9,3892.98,3938.93,3984.89,0.45,ranging,MEDIUM,65,NONE,HEADFAKE,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T14:20:00.000Z,3986.22,73.9,5.60,2.9,3893.73,3942.54,3991.36,0.65,ranging,MEDIUM,60,NONE,HEADFAKE,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T14:25:00.000Z,3989.84,74.6,5.49,1.2,3894.55,3946.13,3997.70,0.45,ranging,LOW,45,NONE,HEADFAKE,true,true,-,SHORT_OK,ENTRY_SHORT_COUNTER,
2025-10-19T14:30:00.000Z,3983.50,69.2,4.63,1.2,3896.72,3949.30,4001.87,0.45,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3984_BBL3907_BBU3991
2025-10-19T14:35:00.000Z,3973.73,62.4,3.09,1.4,3899.86,3951.89,4003.91,0.65,ranging,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3974_BBL3910_BBU3994
2025-10-19T14:40:00.000Z,3980.80,65.1,2.33,0.6,3902.81,3954.70,4006.59,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3981_BBL3913_BBU3996
2025-10-19T14:45:00.000Z,3982.63,65.8,1.73,0.4,3908.12,3958.06,4008.00,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3983_BBL3918_BBU3998
2025-10-19T14:50:00.000Z,3989.60,68.7,1.59,0.4,3913.93,3961.74,4009.55,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3990_BBL3923_BBU4000
2025-10-19T14:55:00.000Z,3987.67,67.0,1.19,0.2,3921.35,3965.36,4009.36,0.65,weakBearish,NONE,25,DOWN,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3988_BBL3930_BBU4001
2025-10-19T15:00:00.000Z,3987.37,66.4,0.73,0.9,3929.16,3968.75,4008.34,0.65,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3987_BBL3937_BBU4000
2025-10-19T15:05:00.000Z,3980.41,60.2,-0.16,0.4,3937.42,3971.56,4005.70,0.85,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3980_BBL3944_BBU3999
2025-10-19T15:10:00.000Z,3980.00,59.6,-0.89,0.3,3943.86,3973.80,4003.74,0.85,weakBearish,NONE,25,NONE,HEADFAKE,true,true,-,PRICE_NOT_IN_ZONE,NO_ENTRY,Price_3980_BBL3950_BBU3998
2025-10-19T15:15:00.000Z,3978.68,58.3,-1.52,0.2,3949.43,3975.63,4001.83,0.85,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T15:20:00.000Z,3980.15,59.3,-1.90,0.3,3955.37,3977.40,3999.44,0.85,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T15:25:00.000Z,3980.07,59.6,-2.19,0.9,3960.04,3978.80,3997.56,0.85,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T15:30:00.000Z,3976.08,56.0,-2.67,0.7,3961.97,3979.43,3996.89,0.65,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T15:35:00.000Z,3975.59,55.3,-2.99,0.3,3962.55,3979.67,3996.78,0.65,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
2025-10-19T15:40:00.000Z,3973.39,53.3,-3.33,0.3,3965.65,3980.37,3995.08,0.65,weakBearish,MEDIUM,55,DOWN,BREAKOUT_REVERSAL,true,true,-,-,NO_ENTRY,BandWalking_Block_Counter
