Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency
2025-10-14T21:15:00.000,2025-10-14T22:45:00.000,LONG,역추세,3950.20,3961.37,2.5315,22.75,0.28,2,90,BB Middle 도달 (평균회귀 완료),NO
2025-10-14T22:45:00.000,2025-10-15T00:10:00.000,SHORT,역추세,3971.76,3962.16,2.5235,18.72,0.24,2,85,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T00:10:00.000,2025-10-15T00:20:00.000,LONG,역추세,3962.16,3983.46,1.2672,24.21,0.54,1,10,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T00:20:00.000,2025-10-15T00:40:00.000,SHORT,역추세,3983.46,4020.98,1.2634,-50.20,-0.94,1,20,긴급 손절 -0.8%,YES
2025-10-15T00:40:00.000,2025-10-15T00:50:00.000,SHORT,역추세,4030.33,4069.49,2.4850,-102.87,-0.97,2,10,긴급 손절 -0.8%,YES
2025-10-15T00:50:00.000,2025-10-15T01:10:00.000,SHORT,역추세,4076.74,4089.60,2.4315,-36.73,-0.32,2,20,시장 조건 전환 (강세),YES
