Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency
2025-10-18T09:05:00.000,2025-10-18T09:25:00.000,LONG,역추세,3823.27,3837.99,1.3078,16.49,0.39,1,20,BB Middle 도달 (평균회귀 완료),NO
2025-10-18T10:25:00.000,2025-10-18T11:15:00.000,SHORT,역추세,3873.15,3855.20,1.2931,20.47,0.46,1,50,BB Middle 도달 (평균회귀 완료),NO
2025-10-18T16:00:00.000,2025-10-18T17:20:00.000,SHORT,역추세,3916.10,3888.07,0.0073,0.19,0.72,1,80,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T09:40:00.000,2025-10-19T10:50:00.000,LONG,역추세,3865.37,3874.12,1.3016,8.62,0.23,1,70,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T12:35:00.000,2025-10-19T14:45:00.000,SHORT,역추세,3902.57,3893.71,2.5807,17.34,0.23,2,130,BB Middle 도달 (평균회귀 완료),NO
