Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency
2025-10-15T00:50:00.000,2025-10-15T01:25:00.000,SHORT,역추세,112614.40,112682.80,0.0444,-5.79,-0.06,1,35,시장 조건 전환 (강세),YES
2025-10-15T11:25:00.000,2025-10-15T11:55:00.000,SHORT,역추세,113516.90,112767.80,0.0079,5.40,0.66,1,30,BB Middle 도달 (평균회귀 완료),NO
2025-10-15T17:15:00.000,2025-10-15T17:30:00.000,SHORT,역추세,112891.50,113239.70,0.0444,-18.21,-0.31,1,15,시장 조건 전환 (강세),YES
2025-10-15T17:30:00.000,2025-10-15T18:15:00.000,LONG,추세추종,113239.70,112676.60,0.0441,-27.59,-0.50,1,45,손절 -0.50%,NO
2025-10-15T21:25:00.000,2025-10-15T23:00:00.000,LONG,역추세,111194.21,111508.80,0.0897,22.71,0.28,2,95,BB Middle 도달 (평균회귀 완료),NO
