Entry Time,Exit Time,Side,Strategy,Avg Entry,Exit Price,Qty,P/L USD,P/L %,Entries,Hold (min),Exit Reason,Emergency
2025-10-18T10:25:00.000,2025-10-18T11:10:00.000,SHORT,역추세,107236.70,106860.40,0.0466,14.80,0.35,1,45,BB Middle 도달 (평균회귀 완료),NO
2025-10-18T16:05:00.000,2025-10-18T16:50:00.000,SHORT,역추세,107295.20,106934.10,0.0467,14.11,0.34,1,45,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T05:05:00.000,2025-10-19T05:55:00.000,SHORT,역추세,107152.00,106949.80,0.0468,6.71,0.19,1,50,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T09:45:00.000,2025-10-19T10:50:00.000,LONG,역추세,106709.80,106928.00,0.0470,7.49,0.20,1,65,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T12:35:00.000,2025-10-19T13:10:00.000,SHORT,역추세,107209.20,106999.90,0.0468,7.05,0.20,1,35,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T15:35:00.000,2025-10-19T16:05:00.000,LONG,역추세,106610.10,106834.30,0.0471,7.80,0.21,1,30,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T17:15:00.000,2025-10-19T17:20:00.000,SHORT,역추세,107109.90,106570.10,0.0470,22.59,0.50,1,5,BB Middle 도달 (평균회귀 완료),NO
2025-10-19T18:45:00.000,2025-10-19T20:05:00.000,SHORT,역추세,107880.20,108114.30,0.0083,-2.45,-0.22,1,80,시장 조건 전환 (강세),YES
2025-10-19T23:15:00.000,2025-10-20T00:40:00.000,SHORT,역추세,108379.70,108314.00,0.0466,0.29,0.06,1,85,BB Middle 도달 (평균회귀 완료),NO
2025-10-20T01:40:00.000,2025-10-20T04:05:00.000,SHORT,역추세,109041.20,109012.10,0.0926,-2.86,0.03,2,145,BB Middle 도달 (평균회귀 완료),NO
2025-10-20T08:45:00.000,2025-10-20T09:15:00.000,LONG,역추세,108425.00,107947.80,0.0466,-24.98,-0.44,1,30,시장 조건 전환 (약세),YES
2025-10-20T09:15:00.000,2025-10-20T11:15:00.000,SHORT,추세추종,107811.63,108273.90,0.0934,-48.74,-0.43,2,120,손절 -0.43%,NO
